X,Y,D顶深,H有效厚度,K渗透率,So含油饱和度
1590,205,2956,4.5,92.45,77.89
2700,895,3011,4.5,98.65,70.86
1510,915,3011,4.5,57.41,60.76
200,895,2986,5,81.66,71.69
1890,1455,3056,2,54.23,44.215
3032,1525,3056,1,44.243333333333,38.4
200,1515,3056,1,85.063333333333,38.386666666667
170,180,2961,4.5,107.45,76.91
3000,156,2961,4.5,68.41,76.97
